iter	Passed	Remaining
230	27310	90915
231	27420	90771
232	27522	90600
233	27635	90465
234	27752	90344
235	27852	90167
236	27964	90029
237	28074	89886
238	28197	89783
239	28319	89677
240	28444	89581
241	28559	89454
242	28666	89303
243	28801	89236
244	28927	89145
245	29048	89036
246	29150	88869
247	29264	88737
248	29378	88608
249	29494	88484
250	29598	88324
251	29709	88184
252	29824	88060
253	29924	87887
254	30034	87746
255	30149	87621
256	30251	87457
257	30369	87342
258	30480	87204
259	30581	87038
260	30689	86896
261	30794	86743
262	30908	86615
263	31021	86485
264	31155	86411
265	31279	86313
266	31403	86212
267	31512	86071
268	31622	85934
269	31723	85770
270	31827	85618
271	31930	85459
272	32042	85328
273	32161	85215
274	32261	85053
275	32378	84933
276	32492	84808
277	32592	84647
278	32702	84510
279	32812	84374
280	32911	84212
281	33023	84080
282	33134	83947
283	33237	83795
284	33349	83665
285	33482	83588
286	33604	83484
287	33724	83373
288	33838	83250
289	33943	83103
290	34051	82962
291	34160	82827
292	34272	82698
293	34383	82566
294	34493	82434
295	34601	82294
296	34699	82133
297	34810	82002
298	34917	81862
299	35016	81704
300	35122	81564
301	35226	81417
302	35341	81296
303	35478	81228
304	35589	81096
305	35694	80953
306	35828	80875
307	35951	80774
308	36063	80646
309	36174	80517
310	36294	80408
311	36410	80288
312	36526	80171
313	36644	80058
314	36755	79928
315	36866	79799
316	36977	79670
317	37094	79554
318	37303	79636
319	37429	79537
320	37553	79436
321	37668	79314
322	37783	79194
323	37893	79061
324	37995	78914
325	38111	78794
326	38242	78707
327	38359	78591
328	38474	78468
329	38594	78358
330	38694	78206
331	38802	78071
332	38910	77938
333	39024	77814
334	39131	77678
335	39247	77561
336	39358	77432
337	39460	77286
338	39575	77166
339	39681	77027
340	39790	76897
341	39898	76764
342	40013	76643
343	40113	76495
344	40227	76374
345	40337	76245
346	40476	76170
347	40597	76061
348	40729	75974
349	40846	75857
350	40955	75726
351	41074	75613
352	41182	75481
353	41292	75353
354	41397	75214
355	41504	75081
356	41617	74958
357	41716	74809
358	41821	74672
359	41921	74527
360	42040	74414
361	42148	74283
362	42253	74147
363	42356	74007
364	42469	73884
365	42585	73767
366	42688	73628
367	42810	73523
368	42942	73433
369	43060	73318
370	43176	73201
371	43287	73076
372	43391	72939
373	43502	72814
374	43618	72696
375	43736	72583
376	43850	72464
377	43963	72341
378	44069	72209
379	44180	72083
380	44294	71963
381	44403	71836
382	44513	71709
383	44626	71588
384	44742	71471
385	44843	71330
386	44955	71208
387	45078	71103
388	45193	70985
389	45313	70874
390	45434	70767
391	45541	70635
392	45663	70529
393	45779	70412
394	45886	70281
395	45990	70146
396	46102	70025
397	46207	69891
398	46316	69765
399	46428	69643
400	46528	69502
401	46640	69380
402	46753	69259
403	46863	69135
404	46977	69016
405	47090	68896
406	47202	68774
407	47305	68639
408	47417	68517
409	47551	68427
410	47665	68308
411	47802	68223
412	47911	68097
413	48024	67976
414	48127	67842
415	48237	67717
416	48335	67577
417	48443	67450
418	48555	67328
419	48665	67204
420	48789	67100
421	48903	66981
422	49008	66850
423	49223	66869
424	49331	66742
425	49444	66622
426	49545	66485
427	49653	66359
428	49768	66242
429	49898	66145
430	50017	66032
431	50142	65928
432	50263	65818
433	50366	65685
434	50479	65564
435	50598	65452
436	50698	65316
437	50816	65203
438	50928	65081
439	51027	64943
440	51135	64818
441	51250	64701
442	51368	64587
443	51465	64448
444	51582	64333
445	51685	64201
446	51811	64097
447	51927	63982
448	52031	63851
449	52150	63739
450	52281	63642
451	52407	63537
452	52519	63418
453	52634	63300
454	52749	63183
455	52857	63058
456	52974	62943
457	53100	62839
458	53217	62724
459	53318	62590
460	53429	62470
461	53542	62349
462	53659	62235
463	53775	62119
464	53897	62010
465	54008	61889
466	54120	61769
467	54232	61648
468	54335	61517
469	54446	61397
470	54577	61297
471	54708	61199
472	54819	61077
473	54939	60966
474	55049	60843
475	55148	60710
476	55259	60588
477	55377	60474
478	55482	60346
479	55593	60225
480	55708	60109
481	55809	59978
482	55931	59868
483	56034	59739
484	56151	59625
485	56280	59522
486	56421	59434
487	56539	59319
488	56694	59245
489	56835	59155
490	56987	59076
491	57127	58985
492	57258	58884
493	57363	58756
494	57481	58642
495	57607	58536
496	57715	58412
497	57839	58304
498	57984	58217
499	58126	58126
500	58434	58201
501	58621	58154
502	58781	58079
503	58934	57998
504	59104	57934
505	59219	57815
506	59377	57738
507	59547	57672
508	59663	57554
509	59781	57437
510	59887	57309
511	59996	57184
512	60115	57068
513	60247	56965
514	60349	56833
515	60466	56716
516	60572	56588
517	60679	56462
518	60793	56342
519	60907	56222
520	61012	56094
521	61143	55989
522	61260	55872
523	61374	55752
524	61496	55639
525	61626	55534
526	61763	55434
527	61879	55316
528	62022	55222
529	62172	55134
530	62312	55036
531	62441	54929
532	62577	54828
533	62729	54741
534	62868	54642
535	62977	54517
536	63107	54411
537	63222	54291
538	63341	54175
539	63460	54058
540	63604	53964
541	63723	53847
542	63851	53738
543	63958	53612
544	64095	53511
545	64243	53418
546	64369	53307
547	64484	53187
548	64596	53065
549	64709	52944
550	64827	52827
551	64943	52707
552	65070	52597
553	65202	52491
554	65325	52378
555	65449	52265
556	65564	52145
557	65689	52033
558	65797	51908
559	65924	51798
560	66047	51683
561	66181	51579
562	66305	51466
563	66443	51364
564	66584	51264
565	66714	51155
566	66831	51037
567	66954	50922
568	67071	50804
569	67180	50680
570	67307	50568
571	67423	50449
572	67522	50317
573	67637	50197
574	67735	50065
575	67834	49933
576	67941	49807
577	68035	49672
578	68145	49549
579	68256	49427
580	68362	49300
581	68471	49177
582	68583	49055
583	68684	48926
584	68815	48818
585	68940	48705
586	69055	48585
587	69170	48466
588	69289	48349
589	69406	48231
590	69512	48105
591	69617	47979
592	69718	47850
593	69814	47718
594	69923	47594
595	70040	47477
596	70146	47351
597	70264	47234
598	70369	47109
599	70470	46980
600	70592	46865
601	70692	46737
602	70811	46620
603	70940	46510
604	71065	46398
605	71177	46277
606	71389	46220
607	71524	46114
608	71637	45993
609	71748	45872
610	71874	45759
611	71996	45644
612	72109	45524
613	72215	45399
614	72319	45272
615	72429	45150
616	72540	45029
617	72642	44901
618	72756	44782
619	72863	44658
620	72965	44531
621	73067	44404
622	73163	44274
623	73280	44155
624	73383	44030
625	73501	43913
626	73631	43802
627	73743	43682
628	73851	43559
629	73961	43437
630	74061	43310
631	74167	43186
632	74281	43066
633	74392	42946
634	74499	42822
635	74613	42703
636	74721	42580
637	74823	42454
638	74934	42334
639	75048	42215
640	75146	42086
641	75253	41963
642	75360	41840
643	75465	41716
644	75582	41599
645	75717	41492
646	75889	41404
647	76044	41308
648	76193	41208
649	76352	41112
650	76479	41000
651	76592	40880
652	76726	40771
653	76846	40655
654	76955	40533
655	77082	40421
656	77206	40307
657	77322	40188
658	77490	40097
659	77612	39982
660	77718	39858
661	77889	39768
662	78062	39678
663	78367	39655
664	78570	39580
665	78728	39482
666	78884	39382
667	79036	39281
668	79243	39207
669	79361	39088
670	79473	38967
671	79588	38846
672	79705	38727
673	79808	38601
674	79923	38481
675	80041	38363
676	80155	38242
677	80274	38124
678	80412	38015
679	80637	37946
680	80805	37851
681	81003	37770
682	81194	37684
683	81427	37618
684	81584	37516
685	81723	37406
686	81870	37300
687	81997	37184
688	82144	37078
689	82270	36962
690	82391	36843
691	82513	36725
692	82642	36610
693	82768	36494
694	82877	36370
695	83009	36256
696	83119	36133
697	83245	36017
698	83374	35902
699	83496	35784
700	83634	35672
701	83760	35556
702	83909	35449
703	84102	35361
704	84268	35261
705	84352	35126
706	84488	35014
707	84620	34900
708	84871	34834
709	85046	34737
710	85193	34628
711	85339	34519
712	85467	34402
713	85608	34291
714	85744	34177
715	85870	34060
716	85998	33943
717	86130	33828
718	86283	33721
719	86438	33615
720	86593	33508
721	86744	33400
722	86886	33288
723	87051	33185
724	87243	33092
725	87378	32977
726	87492	32854
727	87622	32737
728	87751	32620
729	87870	32500
730	87994	32380
731	88120	32262
732	88230	32138
733	88369	32024
734	88472	31898
735	88588	31776
736	88724	31661
737	88875	31551
738	89039	31446
739	89188	31336
740	89332	31224
741	89606	31156
742	89727	31036
743	89845	30914
744	89960	30791
745	90083	30671
746	90214	30554
747	90330	30432
748	90449	30310
749	90564	30188
750	90690	30069
751	90839	29957
752	90958	29836
753	91125	29730
754	91284	29622
755	91430	29509
756	91550	29388
757	91696	29275
758	91853	29165
759	91983	29047
760	92132	28935
761	92279	28822
762	92418	28706
763	92546	28587
764	92694	28474
765	92837	28360
766	92958	28239
767	93100	28124
768	93233	28006
769	93355	27885
770	93637	27811
771	93817	27707
772	93980	27598
773	94113	27480
774	94256	27364
775	94378	27243
776	94514	27125
777	94651	27008
778	94778	26888
779	94944	26779
780	95087	26663
781	95210	26542
782	95360	26428
783	95495	26309
784	95626	26190
785	95760	26072
786	95902	25955
787	96045	25839
788	96198	25726
789	96480	25646
790	96626	25530
791	96772	25415
792	96902	25294
793	97046	25178
794	97191	25062
795	97357	24950
796	97482	24829
797	97618	24710
798	97753	24591
799	97887	24471
800	98035	24355
801	98171	24236
802	98305	24117
803	98446	23999
804	98598	23884
805	98754	23769
806	98900	23652
807	99104	23549
808	99324	23449
809	99458	23329
810	99618	23215
811	99756	23096
812	99893	22976
813	100036	22858
814	100161	22736
815	100302	22617
816	100432	22495
817	100566	22375
818	100706	22256
819	100845	22136
820	100982	22016
821	101135	21900
822	101300	21786
823	101430	21664
824	101568	21544
825	101703	21424
826	101979	21333
827	102136	21216
828	102293	21100
829	102430	20979
830	102572	20860
831	102709	20739
832	102855	20620
833	103004	20502
834	103164	20385
835	103304	20265
836	103475	20151
837	103647	20036
838	103811	19920
839	103936	19797
840	104080	19677
841	104217	19556
842	104438	19450
843	104613	19336
844	104753	19215
845	104879	19091
846	105025	18971
847	105154	18848
848	105294	18727
849	105420	18603
850	105554	18481
851	105694	18360
852	105826	18237
853	105993	18120
854	106172	18005
855	106337	17888
856	106468	17765
857	106605	17643
858	106836	17536
859	106995	17417
860	107158	17299
861	107292	17176
862	107424	17053
863	107557	16930
864	107687	16806
865	107831	16685
866	107961	16561
867	108110	16440
868	108245	16317
869	108418	16200
870	108599	16084
871	108751	15963
872	108904	15842
873	109058	15722
874	109265	15609
875	109486	15498
876	109630	15375
877	109768	15252
878	109919	15131
879	110046	15006
880	110182	14882
881	110334	14761
882	110482	14639
883	110608	14514
884	110725	14388
885	110871	14265
886	111011	14142
887	111186	14023
888	111343	13902
889	111485	13779
890	111646	13658
891	111781	13534
892	111914	13409
893	112124	13294
894	112271	13171
895	112474	13055
896	112646	12934
897	112809	12813
898	112930	12687
899	113057	12561
900	113212	12439
901	113405	12321
902	113577	12200
903	113709	12075
904	113831	11949
905	113958	11823
906	114082	11697
907	114222	11573
908	114328	11445
909	114446	11318
910	114638	11199
911	114794	11076
912	114907	10949
913	115026	10823
914	115143	10696
915	115275	10571
916	115407	10445
917	115532	10319
918	115640	10192
919	115769	10066
920	115905	9941
921	116026	9815
922	116122	9687
923	116236	9560
924	116339	9432
925	116445	9305
926	116560	9179
927	116678	9052
928	116776	8924
929	116889	8798
930	116987	8670
931	117094	8543
932	117210	8417
933	117310	8289
934	117424	8163
935	117536	8036
936	117641	7909
937	117759	7783
938	117867	7656
939	117975	7530
940	118086	7403
941	118211	7278
942	118333	7152
943	118495	7029
944	118605	6902
945	118704	6775
946	118810	6649
947	118917	6522
948	119049	6397
949	119155	6271
950	119253	6144
951	119386	6019
952	119501	5893
953	119613	5767
954	119736	5642
955	119835	5515
956	119942	5389
957	120055	5263
958	120155	5137
959	120331	5013
960	120506	4890
961	120656	4766
962	120786	4640
963	120923	4515
964	121040	4390
965	121140	4263
966	121254	4137
967	121370	4012
968	121479	3886
969	121598	3760
970	121703	3634
971	121800	3508
972	121902	3382
973	122002	3256
974	122111	3131
975	122208	3005
976	122313	2879
977	122420	2753
978	122518	2628
979	122639	2502
980	122749	2377
981	122875	2252
982	122988	2126
983	123135	2002
984	123264	1877
985	123389	1751
986	123524	1626
987	123662	1501
988	123889	1377
989	124065	1253
990	124252	1128
991	124366	1002
992	124480	877
993	124593	752
994	124709	626
995	124822	501
996	124930	375
997	125055	250
998	125168	125
999	125320	0
