iter	RMSE
394	5466.370417
395	5464.146939
396	5460.323136
397	5456.243255
398	5453.735686
399	5450.581845
400	5448.530733
401	5446.786825
402	5443.310382
403	5441.415225
404	5435.390299
405	5432.462079
406	5429.921317
407	5427.47295
408	5422.388567
409	5419.987086
410	5414.456971
411	5411.953674
412	5409.62098
413	5404.925554
414	5401.251201
415	5398.140917
416	5395.560317
417	5390.655475
418	5387.740495
419	5385.962644
420	5383.942562
421	5381.327324
422	5377.397702
423	5375.148454
424	5372.265023
425	5368.583441
426	5363.665527
427	5362.06169
428	5356.68712
429	5354.783838
430	5350.485633
431	5347.994841
432	5345.69103
433	5341.744352
434	5339.486758
435	5337.75133
436	5335.244868
437	5332.915312
438	5329.469532
439	5326.702125
440	5323.212176
441	5320.856471
442	5316.415556
443	5314.562932
444	5310.069281
445	5306.590276
446	5303.363426
447	5299.296699
448	5297.018851
449	5294.42207
450	5290.611581
451	5288.527835
452	5285.154174
453	5282.100885
454	5279.468525
455	5276.289081
456	5274.170233
457	5271.439235
458	5268.730145
459	5266.869837
460	5262.474054
461	5256.915296
462	5254.942289
463	5253.359521
464	5250.517465
465	5248.533392
466	5244.832096
467	5242.948226
468	5240.755533
469	5236.584325
470	5233.37544
471	5229.653978
472	5227.434521
473	5225.38783
474	5223.399605
475	5221.348054
476	5219.397376
477	5217.526454
478	5214.636291
479	5211.967917
480	5207.698674
481	5205.850234
482	5200.58662
483	5197.877117
484	5196.456272
485	5194.104203
486	5192.001211
487	5190.541357
488	5187.64006
489	5185.556278
490	5183.491227
491	5180.550962
492	5176.791488
493	5174.04757
494	5172.226619
495	5170.634946
496	5167.597938
497	5165.926289
498	5161.649862
499	5158.214184
500	5157.057422
501	5154.241747
502	5151.679982
503	5149.909373
504	5145.699654
505	5144.266758
506	5140.567022
507	5138.228322
508	5135.462552
509	5133.834334
510	5131.651541
511	5126.691537
512	5124.425585
513	5122.823694
514	5120.937693
515	5118.436255
516	5116.356989
517	5113.687623
518	5111.886634
519	5108.623028
520	5106.248283
521	5101.39715
522	5099.318331
523	5097.046783
524	5095.661986
525	5092.725389
526	5090.597433
527	5088.815745
528	5087.477346
529	5086.386994
530	5083.816699
531	5078.883591
532	5076.736913
533	5075.052454
534	5071.17209
535	5068.193383
536	5065.502828
537	5063.511927
538	5061.256212
539	5058.905264
540	5056.129934
541	5054.886457
542	5053.007963
543	5050.577045
544	5049.047189
545	5045.802512
546	5043.268947
547	5041.160238
548	5038.918587
549	5035.525514
550	5032.276129
551	5030.897698
552	5029.346864
553	5027.813519
554	5025.987211
555	5024.31414
556	5021.468514
557	5020.060123
558	5018.161834
559	5016.154825
560	5014.462984
561	5011.318324
562	5009.326142
563	5007.818148
564	5005.82213
565	5003.068323
566	5000.773678
567	4997.69216
568	4996.592607
569	4994.074261
570	4991.916801
571	4989.764502
572	4987.567362
573	4986.265352
574	4984.742541
575	4980.841461
576	4978.585933
577	4976.885664
578	4975.023668
579	4972.175305
580	4971.222501
581	4969.426289
582	4967.927823
583	4966.564879
584	4964.839218
585	4963.310335
586	4962.401956
587	4960.197774
588	4959.249865
589	4957.485294
590	4954.78834
591	4953.026914
592	4950.78869
593	4948.683326
594	4947.222957
595	4944.805309
596	4942.606727
597	4940.074029
598	4939.181963
599	4937.660071
600	4936.034135
601	4933.995242
602	4932.243104
603	4930.862627
604	4929.06672
605	4926.466626
606	4924.05731
607	4922.414149
608	4920.42707
609	4918.957341
610	4917.721086
611	4913.341388
612	4910.574985
613	4908.179285
614	4906.556555
615	4904.182724
616	4900.87489
617	4898.40806
618	4896.811309
619	4894.892562
620	4893.518127
621	4892.354916
622	4891.256051
623	4885.754551
624	4883.80311
625	4881.111504
626	4880.093454
627	4877.773716
628	4875.787738
629	4874.750623
630	4873.38356
631	4871.918759
632	4869.851751
633	4867.373107
634	4865.973251
635	4864.778501
636	4863.574629
637	4862.176864
638	4859.328614
639	4857.764055
640	4856.9381
641	4854.320242
642	4851.712905
643	4850.116756
644	4849.024134
645	4847.671941
646	4845.783322
647	4843.521967
648	4840.921816
649	4837.966018
650	4836.581426
651	4832.872701
652	4831.426079
653	4829.926527
654	4828.899134
655	4826.386718
656	4825.297004
657	4823.018424
658	4821.343684
659	4820.252845
660	4818.779231
661	4817.402553
662	4815.982467
663	4814.908636
664	4813.587272
665	4812.488657
666	4810.197813
667	4808.882953
668	4807.988994
669	4806.050688
670	4804.529841
671	4802.820715
672	4801.067957
673	4799.640005
674	4797.155291
675	4795.01212
676	4794.019969
677	4792.91108
678	4789.26102
679	4787.445282
680	4786.13526
681	4785.060958
682	4782.986616
683	4781.618415
684	4779.464755
685	4778.460398
686	4777.031311
687	4773.263038
688	4772.302476
689	4771.028818
690	4768.699689
691	4767.357527
692	4765.974956
693	4764.564072
694	4763.214432
695	4761.604501
696	4760.245587
697	4759.142214
698	4758.082589
699	4756.687098
700	4755.236979
701	4753.321005
702	4752.498536
703	4751.18515
704	4747.627702
705	4747.120188
706	4745.627652
707	4744.682689
708	4742.824459
709	4741.491858
710	4740.535568
711	4739.331642
712	4738.479763
713	4737.365852
714	4736.38711
715	4735.163374
716	4733.55896
717	4732.560375
718	4731.788926
719	4730.822695
720	4729.001001
721	4726.390688
722	4724.038543
723	4723.196054
724	4720.928297
725	4720.14042
726	4718.892436
727	4717.547918
728	4716.773331
729	4715.210175
730	4713.24414
731	4711.858631
732	4711.242521
733	4709.93286
734	4708.722527
735	4706.476743
736	4705.210518
737	4703.824228
738	4702.119753
739	4700.900227
740	4699.927224
741	4698.868507
742	4697.726337
743	4696.278453
744	4694.988478
745	4693.676109
746	4691.753734
747	4690.718994
748	4688.807734
749	4687.885812
750	4685.83746
751	4684.104546
752	4683.001957
753	4681.908604
754	4680.742319
755	4679.266163
756	4674.96641
757	4673.606621
758	4671.452133
759	4670.444521
760	4668.995663
761	4667.656896
762	4666.156048
763	4664.788062
764	4662.251286
765	4661.171408
766	4658.995676
767	4658.077806
768	4656.424403
769	4655.479422
770	4654.049325
771	4652.70718
772	4651.254199
773	4649.713647
774	4648.63601
775	4645.264597
776	4644.335434
777	4643.255185
778	4642.137368
779	4639.296715
780	4637.5431
781	4636.423426
782	4635.083789
783	4634.204866
784	4630.856725
785	4629.31868
786	4627.421914
787	4626.338498
788	4625.122028
789	4624.393066
790	4621.025854
791	4619.969897
792	4618.616323
793	4616.952054
794	4616.482215
795	4615.261413
796	4612.30048
797	4610.281179
798	4608.69142
799	4607.565522
800	4606.283244
801	4604.762281
802	4603.106391
803	4601.755247
804	4600.261119
805	4599.20523
806	4598.437628
807	4597.614689
808	4596.668859
809	4594.46525
810	4593.642806
811	4592.726426
812	4591.831484
813	4590.788804
814	4589.793014
815	4588.736948
816	4588.050583
817	4586.946725
818	4585.789079
819	4583.876604
820	4583.179417
821	4582.210404
822	4580.654339
823	4580.074899
824	4579.073524
825	4577.435074
826	4576.205432
827	4575.30639
828	4573.826268
829	4572.758092
830	4571.920585
831	4570.528704
832	4569.427404
833	4566.720856
834	4565.856606
835	4564.451735
836	4562.603933
837	4561.866036
838	4560.157902
839	4558.82627
840	4555.847479
841	4554.816624
842	4552.896904
843	4549.894685
844	4548.904863
845	4546.937035
846	4546.076328
847	4545.007966
848	4543.588919
849	4542.540561
850	4541.676659
851	4540.614631
852	4539.66588
853	4538.790326
854	4537.208273
855	4536.544096
856	4533.942504
857	4532.950612
858	4531.743716
859	4530.391385
860	4529.655313
861	4528.736236
862	4526.546588
863	4524.800426
864	4524.066995
865	4522.783988
866	4522.231647
867	4520.408976
868	4519.656207
869	4518.890577
870	4517.647032
871	4516.831725
872	4515.755471
873	4514.670645
874	4513.892793
875	4512.880591
876	4512.34267
877	4511.515499
878	4510.295392
879	4509.086325
880	4508.100227
881	4505.785156
882	4504.473796
883	4503.658133
884	4501.200105
885	4500.456584
886	4499.578189
887	4498.402854
888	4496.550103
889	4494.615196
890	4493.581421
891	4492.860939
892	4491.59198
893	4490.343177
894	4489.632909
895	4488.51594
896	4487.716687
897	4484.55001
898	4483.428712
899	4482.934698
900	4481.748847
901	4480.279232
902	4479.419984
903	4478.358423
904	4476.942721
905	4475.473506
906	4474.299585
907	4473.178574
908	4472.258475
909	4471.756842
910	4471.051416
911	4469.773951
912	4468.74145
913	4467.13805
914	4465.681262
915	4464.152638
916	4463.126046
917	4461.534458
918	4460.85241
919	4459.836232
920	4458.632157
921	4457.672509
922	4456.611717
923	4455.238421
924	4453.935766
925	4452.972531
926	4452.165331
927	4450.669246
928	4449.791162
929	4448.860538
930	4448.174698
931	4447.386192
932	4446.346356
933	4445.600132
934	4444.352942
935	4443.6429
936	4443.084095
937	4442.214907
938	4440.930731
939	4440.345811
940	4439.513845
941	4438.7476
942	4438.005351
943	4436.962752
944	4436.283032
945	4435.56533
946	4434.870483
947	4431.956155
948	4431.295581
949	4430.506248
950	4429.70399
951	4428.818235
952	4427.741722
953	4426.234234
954	4425.291939
955	4424.030334
956	4422.496136
957	4420.219569
958	4418.909205
959	4417.8498
960	4416.906158
961	4415.604785
962	4414.663352
963	4413.747945
964	4413.029656
965	4412.155926
966	4411.184561
967	4410.177164
968	4409.059237
969	4408.150537
970	4407.557187
971	4406.676958
972	4406.059624
973	4404.972683
974	4401.920004
975	4400.962781
976	4399.670136
977	4398.552752
978	4397.650373
979	4396.603707
980	4395.590428
981	4395.079969
982	4393.958442
983	4393.410912
984	4392.343214
985	4391.284571
986	4390.424473
987	4389.034273
988	4388.366009
989	4386.698251
990	4385.903636
991	4384.452626
992	4383.609371
993	4382.57925
994	4382.012333
995	4380.761258
996	4379.593759
997	4378.386981
998	4377.069067
999	4376.108093
